query,expected_facts,notes
"When did the Apollo 11 mission land on the moon, and who were the astronauts?","July 20 1969; Neil Armstrong; Buzz Aldrin; Michael Collins; Sea of Tranquility","Date + 3 names + landing site."
"What was the Manhattan Project, and when did it produce its first nuclear test?","World War II; nuclear weapon; Trinity test; July 16 1945; New Mexico","Project context + first-test fact."
"Who discovered the structure of DNA, and when?","James Watson; Francis Crick; 1953; double helix; Rosalind Franklin","Names + year + Franklin's contribution."
"When did the Berlin Wall fall, and why?","November 9 1989; East Germany; checkpoint announcement; protests","Date + political context."
"What was the first artificial satellite, and who launched it?","Sputnik 1; Soviet Union; October 4 1957","Name + country + date."
"Who painted the Sistine Chapel ceiling, and when?","Michelangelo; 1508; 1512; Vatican","Artist + start/end years + location."
"When did penicillin get discovered, and by whom?","Alexander Fleming; 1928; Penicillium notatum mold","Discoverer + year + organism."
"What was the Treaty of Versailles, and when was it signed?","1919; World War I; Germany; reparations; June 28","Year + post-war context + key parties."
"When was the Hubble Space Telescope launched, and what telescope replaced it?","April 24 1990; Space Shuttle Discovery; James Webb Space Telescope","Launch date + successor."
"Who wrote The Origin of Species, and when?","Charles Darwin; 1859; natural selection; evolution","Author + year + theory name."
"When did the Wright brothers make their first powered flight?","December 17 1903; Kitty Hawk; North Carolina; 12 seconds; 120 feet","Date + location + duration/distance."
"What was the Curiosity rover, and when did it land on Mars?","Mars rover; NASA; August 6 2012; Gale Crater","Mission type + date + landing site."
"Who discovered radioactivity, and what did Marie Curie contribute?","Henri Becquerel; 1896; Marie Curie; Pierre Curie; polonium; radium; Nobel Prize","Original discoverer + Curies' isolated elements."
"When did the Chernobyl nuclear disaster occur, and what was its cause?","April 26 1986; Ukraine; Soviet Union; reactor 4; safety test; steam explosion","Date + location + technical cause."
"What is the ISS, and when did the first crew arrive?","International Space Station; November 2 2000; Expedition 1; William Shepherd; Sergei Krikalev; Yuri Gidzenko","Name + first-crew date + first crew names."
