query,expected_category,ambiguous,notes
"How do I parse JSON in JavaScript?",code_question,false,"Clear code question."
"What's the capital of Brazil?",factual_question,false,"Pure factual lookup."
"Write me a 4-line poem about rain.",creative_task,false,"Clear creative ask."
"What's 17 times 84?",math_calculation,false,"Pure arithmetic."
"Hey, how are you doing today?",general_chat,false,"Greeting / small talk."
"Why is my Python dict raising KeyError?",code_question,false,"Debug question."
"When was the Eiffel Tower built?",factual_question,false,"Date lookup."
"Brainstorm three names for a coffee subscription service.",creative_task,false,"Brainstorm."
"How many liters are in 5 gallons?",math_calculation,false,"Unit-conversion math."
"What's your favorite movie?",general_chat,false,"Opinion / small talk."
"Help me write a regex that matches valid IPv4 addresses.",code_question,false,"Code + technical specificity."
"What does HTTP stand for?",factual_question,false,"Acronym definition."
"Draft a thank-you email to a recruiter who rejected me politely.",creative_task,false,"Creative writing in a specific tone."
"If I invest 1000 EUR at 5% compounded annually, what do I have after 7 years?",math_calculation,false,"Compound interest word problem."
"I'm bored, suggest something to do.",general_chat,false,"Vague small talk."
"Explain quicksort in plain English and give me Python code for it.",code_question,true,"Code + factual (algorithm explanation) — but code is the primary deliverable."
"What's 2+2 and write it as a haiku?",creative_task,true,"Math + creative — creative is the unusual ask that defines it."
"Who won the 2022 World Cup and write me a celebration tweet for them?",creative_task,true,"Factual + creative — the deliverable is the tweet, so creative is primary."
"How do I calculate compound interest in Excel?",code_question,true,"Math + code — code (spreadsheet formula) is the primary ask."
"What's the population of Tokyo and is it more than London?",factual_question,true,"Two factual queries combined — still factual."
"Write a story that uses the number pi exactly three times.",creative_task,true,"Math + creative — creative deliverable."
"What's the time complexity of merge sort, and write an implementation?",code_question,true,"Factual (complexity) + code (implementation) — implementation is the deliverable."
"What's a good name for my dog?",creative_task,true,"Could be general_chat (opinion-seeking) — but it's a generation task, so creative."
"How does the GIL affect threading in Python?",code_question,true,"Factual technical knowledge + code context — code is the domain."
"Convert 100 USD to EUR and tell me whether that's enough for dinner in Paris.",math_calculation,true,"Math + general advice — math is the explicit numerical ask."
