query,expected_tool,expected_args_hint,notes
"What is 15 percent of 240?",calculator,"240 * 0.15 or equivalent","Basic arithmetic — clear calculator case."
"How much is 250 euros in dollars?",currency_converter,"amount=250, from=EUR, to=USD","Direct currency phrasing."
"Convert 5 miles to kilometers",unit_converter,"value=5, from=mi, to=km","Direct unit-conversion phrasing."
"What day is next Tuesday?",date_parser,"natural_date='next Tuesday'","Clear date question."
"What is 12.5 times 8?",calculator,"12.5 * 8","Word problem — clear arithmetic."
"How many minutes are in 2.5 hours?",unit_converter,"value=2.5, from=h or hour, to=min","Borderline: could be calculator (2.5*60) — the PRECISE schema explicitly says unit_converter handles time."
"Convert 75 fahrenheit to celsius",unit_converter,"value=75, from=F, to=C","Temperature is a unit conversion."
"What is 1000 yen in USD?",currency_converter,"amount=1000, from=JPY, to=USD","Currency-conversion phrasing without the word 'convert'."
"What date is tomorrow?",date_parser,"natural_date='tomorrow'","Simplest date case."
"What's the sum of 47, 89, and 123?",calculator,"47 + 89 + 123","Sum word — calculator."
"I have 50 pounds, how many kg is that?",unit_converter,"value=50, from=lb, to=kg","Mass conversion phrased conversationally."
"How much is 100 GBP in EUR?",currency_converter,"amount=100, from=GBP, to=EUR","Direct GBP→EUR."
"What's today's date?",date_parser,"natural_date='today'","Simplest date case."
"What is 200 divided by 8 minus 5?",calculator,"200 / 8 - 5","Multi-op arithmetic in plain English."
"Convert 3 kg to pounds",unit_converter,"value=3, from=kg, to=lb","Direct mass conversion."
"What's the capital of France?",none,n/a,"General-knowledge — no tool needed. Tests that the agent doesn't over-trigger."
"Explain how photosynthesis works.",none,n/a,"Explanatory question — no tool needed."
"Who wrote Hamlet?",none,n/a,"Fact lookup the LLM already knows — no tool needed."
"Suggest a good Italian restaurant in NYC.",none,n/a,"Recommendation — no tool fits."
"What is the boiling point of water?",none,n/a,"Static fact — no conversion needed unless user specifies units; phrased generically, no tool."
