bundle_size,subtasks_json
1,"[{""type"": ""nthword"", ""instr"": ""What is word number 5 in this sentence: \""she sells sea shells by the sea shore\""?"", ""gold"": ""by""}]"
1,"[{""type"": ""wordcount"", ""instr"": ""Count the number of words in this sentence: \""a journey of a thousand miles begins with a single step\"""", ""gold"": ""11""}]"
1,"[{""type"": ""lastchar"", ""instr"": ""What is the last letter of the word \""banana\""?"", ""gold"": ""a""}]"
1,"[{""type"": ""nthword"", ""instr"": ""What is word number 5 in this sentence: \""the quick brown fox jumps over the lazy dog\""?"", ""gold"": ""jumps""}]"
3,"[{""type"": ""wordcount"", ""instr"": ""Count the number of words in this sentence: \""practice makes perfect if you keep at it\"""", ""gold"": ""8""}, {""type"": ""multiply"", ""instr"": ""Multiply 19 by 41."", ""gold"": ""779""}, {""type"": ""reverse"", ""instr"": ""Reverse the string \""banana\""."", ""gold"": ""ananab""}]"
3,"[{""type"": ""lastchar"", ""instr"": ""What is the last letter of the word \""silver\""?"", ""gold"": ""r""}, {""type"": ""sortnums"", ""instr"": ""Sort these numbers in ascending order: 25, 38, 90, 84."", ""gold"": ""25, 38, 84, 90""}, {""type"": ""wordcount"", ""instr"": ""Count the number of words in this sentence: \""the quick brown fox jumps over the lazy dog\"""", ""gold"": ""9""}]"
3,"[{""type"": ""sortnums"", ""instr"": ""Sort these numbers in ascending order: 15, 81, 27, 47."", ""gold"": ""15, 27, 47, 81""}, {""type"": ""wordcount"", ""instr"": ""Count the number of words in this sentence: \""practice makes perfect if you keep at it\"""", ""gold"": ""8""}, {""type"": ""multiply"", ""instr"": ""Multiply 29 by 80."", ""gold"": ""2320""}]"
3,"[{""type"": ""multiply"", ""instr"": ""Multiply 98 by 34."", ""gold"": ""3332""}, {""type"": ""upper"", ""instr"": ""Write \""banana\"" in all capital letters."", ""gold"": ""BANANA""}, {""type"": ""maxnum"", ""instr"": ""What is the largest of these numbers: 84, 83, 91, 34, 57?"", ""gold"": ""91""}]"
6,"[{""type"": ""multiply"", ""instr"": ""Multiply 74 by 98."", ""gold"": ""7252""}, {""type"": ""lastchar"", ""instr"": ""What is the last letter of the word \""rocket\""?"", ""gold"": ""t""}, {""type"": ""upper"", ""instr"": ""Write \""window\"" in all capital letters."", ""gold"": ""WINDOW""}, {""type"": ""wordcount"", ""instr"": ""Count the number of words in this sentence: \""the early bird catches the worm every morning\"""", ""gold"": ""8""}, {""type"": ""sortnums"", ""instr"": ""Sort these numbers in ascending order: 69, 84, 68, 56."", ""gold"": ""56, 68, 69, 84""}, {""type"": ""maxnum"", ""instr"": ""What is the largest of these numbers: 48, 41, 33, 20, 83?"", ""gold"": ""83""}]"
6,"[{""type"": ""upper"", ""instr"": ""Write \""silver\"" in all capital letters."", ""gold"": ""SILVER""}, {""type"": ""maxnum"", ""instr"": ""What is the largest of these numbers: 19, 25, 75, 63, 31?"", ""gold"": ""75""}, {""type"": ""add"", ""instr"": ""Add 875 and 450."", ""gold"": ""1325""}, {""type"": ""nthword"", ""instr"": ""What is word number 5 in this sentence: \""she sells sea shells by the sea shore\""?"", ""gold"": ""by""}, {""type"": ""reverse"", ""instr"": ""Reverse the string \""window\""."", ""gold"": ""wodniw""}, {""type"": ""sortnums"", ""instr"": ""Sort these numbers in ascending order: 15, 95, 19, 81."", ""gold"": ""15, 19, 81, 95""}]"
