problem,depth,answer,notes
"A baker has 24 eggs. She uses 6 to make a cake, then splits the rest equally into 3 cartons. How many eggs are in each carton?",2,6,24-6=18; 18/3
"Tom reads 15 pages on Monday and twice as many on Tuesday. How many pages did he read in total over the two days?",2,45,Tue=30; 15+30
"A tank holds 54 liters. It loses 12 liters, then a third of what remains is poured out. How many liters are poured out?",2,14,54-12=42; 42/3
"A store had 80 shirts. It sold 25, then received a shipment that doubled its current stock. How many shirts does it have now?",2,110,80-25=55; 55*2
"Sarah has $120. She spends a quarter of it on books, then $15 on lunch, then earns $40. How much money does she have now?",3,115,120/4=30 -> 90; -15=75; +40
"A classroom has 6 rows of 5 desks. 8 desks are removed, then the rest are split evenly between 2 teachers. How many desks does each teacher get?",3,11,6*5=30; -8=22; /2
"A runner runs 4 km on day one, three times that on day two, and on day three half of the day-two distance. What is the total distance over the three days?",3,22,d2=12; d3=6; 4+12+6
"A farmer has 90 apples. He gives away a third, then packs the rest into bags of 6, then sells all but 2 of the bags. How many bags did he sell?",3,8,90/3=30 -> 60; /6=10 bags; -2
"A company has 200 employees. 30% work remotely. Half of the remote workers are engineers. The company then hires 5 more remote engineers, after which 4 remote engineers leave. How many remote engineers are there now?",4,31,200*.3=60; /2=30; +5=35; -4
"A library has 500 books. A fifth are fiction. Of the fiction, 40 are checked out and later 10 of those are returned to the shelf. Then a seventh of the fiction currently on the shelf is donated away. How many fiction books are on the shelf?",4,60,500/5=100; on-shelf 60; +10=70; -70/7=10 -> 60
"Mike earns $20 per hour. He works 8 hours on Monday and 6 hours on Tuesday. He is taxed 25% on his total earnings. How much does he take home?",4,210,160+120=280; *0.75
"A pizzeria makes 12 pizzas per hour for 5 hours. A quarter are sold immediately. Of those left, 20 are reserved. The rest are discarded. How many are discarded?",4,25,12*5=60; /4=15 sold -> 45; -20
"A school orders 8 boxes of 25 notebooks. A fifth are defective and removed. The good notebooks are split equally among 4 classes. Each class then gives 3 notebooks to the office. How many notebooks does each class keep?",5,37,8*25=200; /5=40 -> 160; /4=40; -3
"A factory produces 1000 widgets. 10% fail inspection. The passing widgets are packed 9 per box. 5 boxes are damaged in shipping and discarded. Each remaining box sells for $20. What is the total revenue?",5,1900,1000-100=900; /9=100 boxes; -5=95; *20
"A charity raises $5000. 20% goes to admin. The rest is split equally among 4 projects. Each project spends a quarter of its funds on supplies. That supplies budget is then increased by $50. What is each project's final supplies budget?",5,300,5000*.8=4000; /4=1000; /4=250; +50
"A theater has 15 rows of 20 seats. A fifth of the seats are unsold. Of the sold seats, a quarter are balcony seats at $30 each. The theater then refunds 4 balcony tickets. What is the balcony revenue after refunds?",5,1680,300; sold 240; balcony 60; *30=1800; -120
"A warehouse has 12 pallets of 50 boxes. 10% of the boxes are damaged and removed. The rest are loaded equally onto 3 trucks. Each truck unloads 20 boxes at the first stop, then unloads half of its remaining boxes at the second stop. How many boxes are left on each truck?",6,80,600-60=540; /3=180; -20=160; /2
"A game starts you with 1000 points. You lose 20%. A bonus then doubles your points. A penalty removes 400. The result is split equally across 4 levels. Each level loses 50 points and then gains a 10-point streak bonus. How many points does each level have?",6,260,800; *2=1600; -400=1200; /4=300; -50=250; +10
"A bakery makes 24 dozen cookies. A quarter of them burn. The rest are boxed 6 per box. 6 boxes are sold. Of the boxes that remain, half are donated. How many boxes are donated?",6,15,288; -72=216; /6=36; -6=30; /2
"A reservoir holds 8000 liters. A leak drains a quarter of it. Then 1000 liters are added. A fifth of the total is then used for irrigation. The remainder is split equally between 2 towns. Each town returns 200 liters. How much does each town keep?",6,2600,8000-2000=6000; +1000=7000; -1400=5600; /2=2800; -200
"Start with 50. Then, in order: add 30; subtract 12; multiply by 2; subtract 16; divide by 4; add 9; subtract 5; multiply by 6. What is the result?",8,204,stress-tier running-value chain
"Start with 64. Then, in order: subtract 14; divide by 2; multiply by 3; add 18; subtract 33; multiply by 2; subtract 20; divide by 4. What is the result?",8,25,stress-tier running-value chain
"Start with 100. Then, in order: add 20; subtract 5; multiply by 2; subtract 30; divide by 2; add 15; subtract 8; multiply by 3; subtract 21; divide by 3. What is the result?",10,100,stress-tier running-value chain
"Start with 81. Then, in order: subtract 9; divide by 2; add 14; multiply by 3; subtract 18; divide by 4; add 27; subtract 3; multiply by 2; subtract 10. What is the result?",10,104,stress-tier running-value chain
"Start with 73. Then, in order: add 48; subtract 17; multiply by 3; subtract 88; divide by 2; add 59; subtract 34; multiply by 2; subtract 19; divide by 5; add 66; subtract 29; multiply by 4; subtract 52. What is the result?",14,300,stress-tier running-value chain
"Start with 88. Then, in order: add 12; divide by 2; multiply by 3; subtract 15; add 35; divide by 5; multiply by 4; subtract 8; divide by 2; add 27; subtract 3; multiply by 6; subtract 42; divide by 3. What is the result?",14,162,stress-tier running-value chain
