query,expected_answer,expected_tools,notes
"How many years apart were the Eiffel Tower's completion and the Statue of Liberty's dedication?","3 years (1889 minus 1886)","search;search;calculator","Two date lookups + subtraction"
"How old was Charles Darwin when he published On the Origin of Species?","50 years old (1859 minus 1809)","search;search;calculator","Birth year + publication year + diff"
"How old would Albert Einstein be today, in 2026?","147 years old (2026 minus 1879)","search;current_date;calculator","Uses current_date tool — forces the agent to NOT hardcode the year"
"How old was Isaac Newton when he published the Principia Mathematica?","44 years old (1687 minus 1643)","search;search;calculator","Birth + publication + diff"
"How many years passed between the launch of Sputnik and the Apollo 11 moon landing?","12 years (1969 minus 1957)","search;search;calculator","Two event dates + diff"
"What is the height difference in meters between Mount Everest and Mount Kilimanjaro?","2954 meters (8849 minus 5895)","search;search;calculator","Two heights + subtraction"
"What is the combined metropolitan population of Tokyo and Delhi?","Approximately 69 million (37 plus 32)","search;search;calculator","Two populations + addition"
"How many years after Shakespeare's birth was Hamlet written?","Approximately 36 years (1600 minus 1564)","search;search;calculator","Birth + composition + diff"
"How many years before the fall of the Berlin Wall did the Sydney Opera House open?","16 years (1989 minus 1973)","search;search;calculator","Two event dates + diff"
"How many years separated the end of World War I and the end of World War II in Europe?","27 years (1945 minus 1918)","search;search;calculator","Two dates + diff"
"How many years passed between the Wright brothers' first powered flight and the Apollo 11 moon landing?","66 years (1969 minus 1903)","search;search;calculator","Two dates + diff"
"What is the length difference in kilometers between the Nile and Amazon rivers?","250 km (6650 minus 6400)","search;search;calculator","Two lengths + diff"
"How old was Marie Curie in the year 1900?","32 or 33 years old (1900 minus 1867)","search;calculator","One lookup + arithmetic against a given year"
"How old was Nikola Tesla in the year 1900?","43 or 44 years old (1900 minus 1856)","search;calculator","One lookup + arithmetic"
"How many seconds would it take light to travel the distance of Earth's circumference at the equator?","Approximately 0.134 seconds","search;search;calculator","Speed of light + circumference + division"
